Common Name,Name,First record,Last record,
Black-thighed Falconet,Microhierax fringillarius,1819,1986,
Little Grebe,Tachybaptus ruficollis poggei,1994,2014,
Pacific Reef Egret,Egretta sacra sacra,1819,2014,
Great-billed Heron,Ardea sumatrana sumatrana ,1819,2014,
Grey Heron,Ardea cinerea jouyi,1983,2014,
Purple Heron,Ardea purpurea manilensis,1940,2014,
Striated Heron,Butorides striatus javanicus,1819,2014,
Black-crowned Night Heron,Nycticorax nycticorax nycticorax,1983,2014,
Yellow Bittern,Ixobrychus sinensis,1986,2014,
Cinnamon Bittern,Ixobrychus cinnamomeus,1819,2014,
Lesser Adjutant,Leptoptilos javanicus,1882,1882,
Mangrove Pitta,Pitta megarhyncha,1819,2014,
Garnet Pitta,Pitta granatina coccinea,1819,1949,
Dusky Broadbill,Corydon sumatranus sumatranus,1819,1871,
Black-and-red Broadbill,Cymbirhynchus macrorhynchos malaccensis,1819,1949,
Banded Broadbill,Eurylaimus javanicus pallidus,1819,1927,
Black-and-yellow Broadbill,Eurylaimus ochromalus ochromalus,1819,1871,
Green Broadbill,Calyptomena viridis viridis,1819,1941,
Golden-bellied Gerygone,Gerygone sulphurea sulphurea,1819,2014,
Asian Fairy Bluebird,Irena puella malayensis,1819,2014,
Greater Green Leafbird,Chloropsis sonnerati zosterops ,1819,2014,
Lesser Green Leafbird,Chloropsis cyanopogon cyanopogon,1819,2014,
Blue-winged Leafbird,Chloropsis cochinchinensis icterocephala,1819,2014,
Long-tailed Shrike ,Lanius schach bentet,1969,2014,
Mangrove Whistler,Pachycephala grisola vandepolli,1819,2014,
Large-billed Crow,Corvus macrorhynchos macrorhynchos,1819,2014,
Dark-throated Oriole ,Oriolus xanthonotus xanthonotus ,1819,1941,
Black-naped Oriole,Oriolus chinensis maculatus,1936,2014,
Bar-bellied Cuckooshrike,Coracina striata sumatrensis,1819,1969,
Lesser Cuckooshrike,Coracina fimbriata culminata,1819,1969,
Pied Triller,Lalage nigra nigra,1819,2014,
Fiery Minivet,Pericrocotus igneus igneus,1819,1969,
Scarlet Minivet,Pericrocotus flammeus xanthogaster,1819,2014,
Pied Fantail,Rhipidura javanica longicauda,1819,2014,
Bronzed Drongo,Dicrurus aeneus malayensis,1819,1949,
Greater Racket-tailed Drongo,Dicrurus paradiseus platurus,1819,2014,
Black-naped Monarch,Hypothymis azurea prophata,1819,2014,
