Name,First Record,Last Record
Caleta elna elvira ,1862,2017
Castalius rosimon rosimon ,1970,1994
Catochrysops panormus exiguus ,1886,2017
Catochrysops strabo strabo,1882,2017
Catopyrops ancyra aberrans,2004,2017
Chilades pandava pandava ,1956,2017
Euchrysops cnejus cnejus ,1919,2017
Everes lacturnus rileyi ,1882,2017
Ionolyce helicon merguiana ,1882,2017
Jamides abdul abdul,1956,1976
Jamides alecto ageladas ,1956,2017
Jamides bochus nabonassar ,1862,2017
Jamides caeruleus caeruleus ,1882,2017
Jamides celeno aelianus ,1882,2017
Jamides elpis pseudelpis ,1956,2017
Jamides malaccanus malaccanus ,2003,2017
Jamides philatus subditus,1967,1976
Jamides pura pura,1956,1976
Lampides boeticus ,1946,2017
Lycaenopsis haraldus haraldus,1862,1926
Megisba malaya sikkima,1970,2017
Nacaduba angusta kerriana ,1886,2017
Nacaduba berenice icena ,1956,2017
Nacaduba beroe neon,1939,2017
Nacaduba biocellata ,2004,2017
Nacaduba calauria malayica,1855,2017
Nacaduba hermus swatipa,1956,1976
Nacaduba kurava nemana,1908,2017
Nacaduba pactolus odon ,1956,2017
Nacaduba pavana singapura ,1937,2017
Nacaduba pendleburyi pendleburyi,1956,1976
Nacaduba russelli,1967,1976
Nacaduba sanaya elioti ,1862,2017
Nacaduba subperusia lysa,1956,1976
Neopithecops zalmora zalmora,1862,2017
Petrelaea dana dana,2005,2017
Prosotas aluta nanda,2008,2017
Prosotas dubiosa lumpura ,1956,2017
Prosotas lutea sivoka,2012,2017
Prosotas nora superdates ,1956,2017
Una usta usta,1956,1976
Zizeeria karsandra,1956,1976
Zizeeria maha serica ,2001,2017
Zizina otis lampa ,1930,2017
Zizula hylax pygmaea,1956,2017
Ancema blanka blanka ,1973,2017
Araotes lapithis uruwela ,1862,1970
Arhopala abseus abseus,1930,2017
Arhopala achelous achelous,1862,1973
Arhopala aedias agnis ,1862,2017
Arhopala agelastus agelastus,1862,1926
Arhopala agrata agrata,1956,1976
Arhopala alitaeus pardenas,1948,2017
Arhopala allata pandora,1855,1983
Arhopala ammon ammon,1862,2017
Arhopala amphimuta amphimuta ,1862,2017
Arhopala antimuta antimuta,1890,2017
Arhopala ariel ,1956,1976
Arhopala athada athada ,1937,2017
Arhopala atosia malayana ,1903,2017
Arhopala aurea ,1949,2017
Arhopala avathina avathina,1862,1976
Arhopala barami penanga,1956,1976
Arhopala centaurus nakula,1862,2017
Arhopala corinda acestes,1900,1976
Arhopala delta,1970,1976
Arhopala democritus lycaenaria,1862,1976
Arhopala epimuta epiala ,1862,2017
Arhopala eumolphus maxwelli ,1862,2017
Arhopala fulla intaca,1949,1976
Arhopala hypomuta hypomuta,1862,1976
Arhopala inornata inornata,1956,1976
Arhopala kurzi,1939,1976
Arhopala lurida,1967,1976
Arhopala major major,1902,2017
Arhopala metamuta metamuta,1956,1976
Arhopala milleri,1956,1973
Arhopala moorei busa,1938,1976
Arhopala muta maranda,1862,2017
Arhopala myrzala lammas,1900,2017
Arhopala normani,1967,1976
Arhopala phanda phanda,1938,1976
Arhopala pseudomuta pseudomuta ,1890,2017
Arhopala silhetensis adorea ,1949,2017
Arhopala sublustris ridleyi,1983,2017
Arhopala trogon,1956,2017
Arhopala vihara vihara,1970,1983
Arhopala wildeyana wildeyana,1956,1976
Bindahara phocides phocides ,1882,2017
Bullis buto cowani,1936,1976
Catapaecilma major emas ,1862,2017
Cheritra freja frigga ,1956,2017
Deudorix elioti,1909,2017
Deudorix epijarbas cinnabarus,1956,2017
