Species,Description.year,Extinction.year
Pseudophryne.major,1940,NA
Pseudophryne.occidentalis,1940,NA
Pseudophryne.pengilleyi,1985,NA
Pseudophryne.raveni,1994,NA
Pseudophryne.semimarmorata,1892,NA
Rheobatrachus.silus,1973,1981
Rheobatrachus.vitellinus,1984,1985
Rhinella.marina,1758,NA
Spicospina.flammocaerulea,1997,NA
Taudactylus.acutirostris,1916,NA
Taudactylus.diurnus,1966,1979
Taudactylus.eungellensis,1973,NA
Taudactylus.liemi,1980,NA
Taudactylus.pleione,1986,NA
Taudactylus.rheophilus,1973,NA
Uperoleia.altissima,1993,NA
Uperoleia.arenicola,1981,NA
Uperoleia.aspera,1981,NA
Uperoleia.borealis,1981,NA
Uperoleia.capitulata,1986,NA
Uperoleia.crassa,1981,NA
Uperoleia.daviesae,2005,NA
Uperoleia.fusca,1986,NA
Uperoleia.glandulosa,1985,NA
Uperoleia.inundata,1981,NA
Uperoleia.laevigata,1867,NA
Uperoleia.lithomoda,1981,NA
Uperoleia.littlejohni,1986,NA
Uperoleia.marmorata,1841,NA
Uperoleia.martini,1986,NA
Uperoleia.micromeles,1981,NA
Uperoleia.mimula,1986,NA
Uperoleia.minima,1981,NA
Uperoleia.mjobergii,1913,NA
Uperoleia.orientalis,1940,NA
Uperoleia.rugosa,1916,NA
Uperoleia.russelli,1933,NA
Uperoleia.talpa,1981,NA
Uperoleia.trachyderma,1981,NA
Uperoleia.tyleri,1986,NA
